iter	RMSE
0	0.24396086
1	0.2433367044
2	0.2422660909
3	0.2414823123
4	0.2404977481
5	0.2398478813
6	0.2393080867
7	0.238891657
8	0.2384277599
9	0.2381851403
10	0.2375486999
11	0.2370924155
12	0.2369266951
13	0.2367137911
14	0.2364476857
15	0.236342916
16	0.2361869049
17	0.2359449536
18	0.2358987589
19	0.2357890176
20	0.2356240548
21	0.2355416148
22	0.2354674218
23	0.2354453831
24	0.235215431
25	0.2351397385
26	0.2350930534
27	0.2350575946
28	0.2349599122
29	0.2349186894
30	0.2348703479
31	0.2344806394
32	0.23446411
33	0.234422043
34	0.2343643768
35	0.234323764
36	0.2341806982
37	0.2341487314
38	0.2339427804
39	0.2335950816
40	0.2335774069
41	0.23353955
42	0.2335068835
43	0.233443466
44	0.2332701404
45	0.2332567719
46	0.2332049711
47	0.233192651
48	0.2330049103
49	0.2330007999
50	0.2329690973
51	0.2329352242
52	0.2329216889
53	0.2328392149
54	0.232839162
55	0.232587151
56	0.2325669623
57	0.2323156668
58	0.2323119408
59	0.2322742091
60	0.2322626222
61	0.2319484823
62	0.2319300671
63	0.2319297747
64	0.2317957062
65	0.2316228515
66	0.2316078334
67	0.2315254502
68	0.2314700166
69	0.2313724733
70	0.231362738
71	0.2313528261
72	0.2313319613
73	0.2310215198
74	0.2309969534
75	0.2308466284
76	0.230812856
77	0.2307934031
78	0.2307916357
79	0.2307867181
80	0.230786718
81	0.2307721722
82	0.2307121464
83	0.2306958489
84	0.230677283
85	0.2306512083
86	0.2306445088
87	0.2306138769
88	0.2306090579
89	0.2304368085
90	0.2303946496
91	0.2303831882
92	0.230364557
93	0.2303592712
94	0.2303454012
95	0.2303169158
96	0.2303133479
97	0.2301877929
98	0.2301875743
99	0.2301706357
100	0.230132233
101	0.2301250856
102	0.2301206065
103	0.230114796
104	0.2301017849
105	0.2300894209
106	0.2300623454
107	0.2300605004
108	0.2300255723
109	0.2300253117
110	0.2300238372
111	0.2299640829
112	0.2299505707
113	0.2299492345
114	0.2299457909
115	0.2299152116
116	0.2298925323
117	0.2298923653
118	0.2298044658
119	0.2298037794
120	0.2297498713
121	0.229749028
122	0.2297490239
123	0.2297435721
124	0.2297429655
125	0.229731847
126	0.2296905381
127	0.2296375905
128	0.2296375903
129	0.2296375903
130	0.2295978928
131	0.2295895759
132	0.2295895759
133	0.2295805375
134	0.2295711664
135	0.2295325067
136	0.2295295868
137	0.2295195714
138	0.2295190799
139	0.2294702756
140	0.2294569359
141	0.229436163
142	0.2293781807
143	0.2292270232
144	0.2292234462
145	0.2292040373
146	0.2291930067
147	0.2291930066
148	0.2291682486
149	0.2290396331
150	0.2290203161
151	0.228950019
152	0.2288452061
153	0.2287176522
154	0.228680555
155	0.2286339912
156	0.228601466
157	0.2285878976
158	0.228587089
159	0.228476708
160	0.2284344934
161	0.2283882098
162	0.2283014158
163	0.2282803727
164	0.2282580894
165	0.2282396248
166	0.2282393939
167	0.2282292364
168	0.2280926163
169	0.2280732874
170	0.2280542969
171	0.2280421436
172	0.2279117886
173	0.2278669053
174	0.2278415918
175	0.227831077
176	0.2277714367
177	0.2277554299
178	0.2277434394
179	0.2277312704
180	0.2276645241
181	0.2276330273
182	0.2276248868
183	0.227542542
184	0.2275340388
185	0.2275213365
186	0.2274552561
187	0.2273753198
188	0.2273623615
189	0.227343308
190	0.2273314993
191	0.2272783941
192	0.2272418314
193	0.2271402288
194	0.2270984611
195	0.2270853768
196	0.2270784637
197	0.2269858271
198	0.226921598
199	0.2268217816
200	0.226810962
201	0.2267769366
202	0.2267668797
203	0.2267557915
204	0.2267005453
205	0.2266874343
206	0.226603819
207	0.2265897154
208	0.2265721059
209	0.2264894939
210	0.2264533246
211	0.2264364824
212	0.2264243325
213	0.2264153647
214	0.2264057978
215	0.2263204699
216	0.2262384236
217	0.2262337798
218	0.2261861473
219	0.2261330885
220	0.2261120499
221	0.2261021044
222	0.2260798285
223	0.2260377223
224	0.2259903473
225	0.2259349792
226	0.2259210149
227	0.2259060577
228	0.2258639002
229	0.2258279506
230	0.2257971994
231	0.2257622925
232	0.2257615393
233	0.2257497096
234	0.2256849536
235	0.2256814629
236	0.2256732933
237	0.2256493567
238	0.2255864279
239	0.2255531632
240	0.2255494365
241	0.2254979643
242	0.2254803234
243	0.2254707079
244	0.2254416028
245	0.2254257653
246	0.2253770041
247	0.2253697608
248	0.2252824546
249	0.2252659848
250	0.2252082028
251	0.2252016275
252	0.2251975873
253	0.2251692446
254	0.225150162
255	0.2251377676
256	0.2250960781
257	0.2250603593
258	0.225036733
259	0.22502874
260	0.2250273468
261	0.2249819071
262	0.2248930884
263	0.2248607789
264	0.2248570542
265	0.2248344299
266	0.2248189185
267	0.2248099465
268	0.2247778641
269	0.2247169613
270	0.2246765366
271	0.2245722882
272	0.2245402788
273	0.2245201381
274	0.2244700441
275	0.2244570309
276	0.2244432457
277	0.224443011
278	0.2244381678
279	0.2244370932
280	0.2244307204
281	0.2244292061
282	0.2244122769
283	0.2243811149
284	0.2243534232
285	0.2242906006
286	0.2242707915
287	0.2242655967
288	0.2242553717
289	0.2242459073
290	0.2242442522
291	0.2242375671
292	0.2242297941
293	0.2242243349
294	0.2242043677
295	0.224197127
296	0.2241463597
297	0.2241389326
298	0.2241122256
299	0.2240917421
300	0.2240763065
301	0.2240753132
302	0.2240582604
303	0.2240436387
304	0.2240284617
305	0.2240215365
306	0.2240151265
307	0.2239867596
308	0.223960796
309	0.2239575761
310	0.2239304189
311	0.223925365
312	0.2239182489
313	0.223910999
314	0.2238986144
315	0.223880257
316	0.2238756157
317	0.2238749638
318	0.2238426537
319	0.2238267315
320	0.2238080304
321	0.223798843
322	0.2237813648
323	0.2237793615
324	0.2237760561
325	0.2237368342
326	0.2237366363
327	0.2237337157
328	0.2237117055
329	0.2236977921
330	0.223689296
331	0.2236741445
332	0.2236567954
333	0.2236275616
334	0.2236106345
335	0.2235721953
336	0.2235278728
337	0.2234932976
338	0.2234687133
339	0.2234558348
340	0.2234291452
341	0.2234092224
342	0.2234083563
343	0.2233912639
344	0.2233695107
345	0.2233586115
346	0.2233334547
347	0.2232875063
348	0.2232764489
349	0.2232657612
350	0.223255709
351	0.2232513826
352	0.2232338489
353	0.2232200939
