iter	Passed	Remaining
0	48	17089
1	82	14547
2	129	15197
3	176	15406
4	227	15877
5	272	15795
6	312	15467
7	342	14818
8	381	14643
9	418	14400
10	480	14980
11	539	15377
12	580	15219
13	620	15069
14	662	14964
15	694	14662
16	724	14371
17	770	14385
18	787	13890
19	816	13629
20	852	13525
21	885	13362
22	899	12942
23	919	12645
24	963	12673
25	985	12433
26	1007	12202
27	1067	12432
28	1117	12520
29	1160	12528
30	1195	12458
31	1238	12459
32	1271	12363
33	1327	12494
34	1391	12684
35	1446	12774
36	1487	12748
37	1543	12832
38	1588	12826
39	1632	12812
40	1668	12741
41	1690	12557
42	1725	12478
43	1779	12534
44	1827	12552
45	1868	12509
46	1902	12427
47	1925	12277
48	1973	12285
49	1986	12080
50	2025	12033
51	2065	11997
52	2094	11897
53	2127	11819
54	2142	11644
55	2183	11618
56	2229	11616
57	2271	11592
58	2309	11548
59	2352	11527
60	2374	11406
61	2427	11431
62	2487	11489
63	2512	11386
64	2558	11377
65	2611	11395
66	2654	11370
67	2706	11383
68	2752	11367
69	2791	11327
70	2826	11264
71	2878	11272
72	2942	11326
73	3007	11378
74	3050	11347
75	3100	11343
76	3148	11325
77	3196	11310
78	3218	11204
79	3262	11172
80	3271	11025
81	3285	10896
82	3330	10874
83	3374	10845
84	3410	10794
85	3450	10754
86	3480	10680
87	3520	10642
88	3557	10591
89	3606	10578
90	3645	10537
91	3681	10484
92	3716	10430
93	3740	10346
94	3785	10321
95	3828	10287
96	3868	10250
97	3911	10218
98	3926	10113
99	3967	10078
100	4009	10044
101	4040	9982
102	4077	9936
103	4117	9898
104	4158	9861
105	4197	9819
106	4238	9785
107	4251	9684
108	4294	9653
109	4312	9566
110	4325	9469
111	4367	9437
112	4412	9409
113	4430	9326
114	4473	9296
115	4512	9259
116	4549	9215
117	4575	9150
118	4629	9142
119	4652	9073
120	4696	9043
121	4716	8969
122	4729	8882
123	4769	8845
124	4791	8777
125	4838	8756
126	4885	8732
127	4933	8711
128	4944	8623
129	4951	8532
130	4995	8503
131	5035	8469
132	5053	8396
133	5068	8321
134	5110	8290
135	5151	8257
136	5176	8198
137	5219	8169
138	5242	8109
139	5286	8081
140	5326	8046
141	5367	8012
142	5413	7987
143	5456	7958
144	5477	7894
145	5519	7863
146	5570	7844
147	5585	7774
148	5648	7771
149	5690	7739
150	5731	7705
151	5776	7676
152	5818	7644
153	5863	7614
154	5907	7584
155	5954	7558
156	5996	7524
157	6043	7496
158	6057	7429
159	6100	7396
160	6147	7368
161	6191	7338
162	6238	7310
163	6298	7296
164	6346	7269
165	6393	7241
166	6408	7176
167	6442	7132
168	6486	7100
169	6552	7092
170	6610	7074
171	6656	7043
172	6706	7016
173	6749	6982
174	6796	6951
175	6831	6908
176	6879	6879
177	6924	6846
178	6970	6814
179	7013	6779
180	7059	6747
181	7103	6713
182	7137	6669
183	7188	6641
184	7232	6607
185	7275	6571
186	7318	6535
187	7370	6507
188	7409	6469
189	7449	6430
190	7487	6390
191	7534	6357
192	7580	6323
193	7622	6286
194	7665	6250
195	7712	6216
196	7754	6179
197	7797	6143
198	7841	6107
199	7886	6072
200	7924	6032
201	7965	5993
202	8007	5956
203	8045	5916
204	8089	5879
205	8141	5849
206	8210	5830
207	8276	5809
208	8349	5792
209	8425	5777
210	8501	5761
211	8592	5755
212	8639	5719
213	8695	5688
214	8766	5667
215	8861	5661
216	8934	5640
217	9014	5623
218	9092	5605
219	9183	5593
220	9259	5572
221	9321	5542
222	9364	5501
223	9412	5462
224	9459	5423
225	9505	5383
226	9549	5342
227	9592	5301
228	9642	5263
229	9697	5228
230	9751	5192
231	9810	5159
232	9861	5121
233	9916	5085
234	9974	5050
235	10023	5011
236	10068	4970
237	10126	4935
238	10187	4902
239	10260	4873
240	10311	4835
241	10362	4795
242	10421	4760
243	10479	4724
244	10540	4689
245	10624	4664
246	10698	4634
247	10789	4611
248	10852	4576
249	10900	4534
250	10948	4492
251	11063	4477
252	11187	4466
253	11241	4425
254	11286	4381
255	11371	4353
256	11521	4348
257	11599	4316
258	11661	4277
259	11735	4242
260	11800	4204
261	11888	4174
262	12019	4158
263	12072	4115
264	12121	4070
265	12160	4023
266	12199	3975
267	12236	3926
268	12277	3879
269	12320	3832
270	12364	3786
271	12414	3742
272	12473	3701
273	12548	3663
274	12606	3621
275	12651	3575
276	12694	3528
277	12730	3480
278	12775	3434
279	12814	3386
280	12857	3340
281	12897	3293
282	12944	3247
283	12982	3199
284	13022	3152
285	13065	3106
286	13111	3060
287	13151	3013
288	13201	2969
289	13255	2925
290	13302	2879
291	13338	2832
292	13389	2787
293	13437	2742
294	13485	2697
295	13556	2656
296	13647	2619
297	13695	2573
298	13741	2527
299	13783	2481
300	13826	2434
301	13867	2387
302	13922	2343
303	13962	2296
304	14005	2250
305	14046	2203
306	14088	2156
307	14130	2110
308	14168	2063
309	14210	2017
310	14254	1970
311	14297	1924
312	14337	1878
313	14389	1833
314	14469	1791
315	14553	1750
316	14601	1704
317	14671	1660
318	14731	1616
319	14789	1571
320	14834	1525
321	14880	1478
322	14921	1432
323	14968	1385
324	15016	1339
325	15074	1294
326	15120	1248
327	15173	1202
328	15222	1156
329	15269	1110
330	15325	1064
331	15373	1018
332	15415	972
333	15460	925
334	15531	880
335	15596	835
336	15667	790
337	15726	744
338	15780	698
339	15835	652
340	15881	605
341	15926	558
342	15978	512
343	16042	466
344	16092	419
345	16134	373
346	16178	326
347	16223	279
348	16266	233
349	16312	186
350	16351	139
351	16422	93
352	16482	46
353	16559	0
